x,y,z
-5.51786e-07,1.1649e-06,7.56766e-07
9.86822e-07,-6.51691e-07,1.36214e-06
-3.32172e-08,-3.14525e-07,1.82505e-06
-1.26222e-06,3.55683e-07,1.33558e-06
1.36647e-06,1.08627e-06,5.15168e-08
4.61551e-07,-3.62966e-07,1.84947e-06
-1.35846e-07,-1.40837e-07,1.01552e-06
-5.7194e-07,-4.44507e-07,3.84406e-07
1.28306e-06,-3.06493e-07,3.38025e-07
2.67271e-08,-5.65197e-08,4.06712e-08
-5.68074e-07,7.12499e-07,1.37134e-06
-5.9207e-07,-3.16975e-08,-3.09224e-09
1.23443e-07,-1.69746e-07,1.1223e-06
1.32054e-06,-1.36491e-06,5.68683e-07
-1.46664e-06,1.23088e-06,-2.11143e-08
2.97283e-07,-7.89494e-07,1.20135e-06
-1.30287e-06,-1.18518e-06,5.67017e-07
5.65427e-07,5.31902e-07,5.78862e-08
-1.43399e-06,-8.69871e-07,8.56751e-07
-4.43347e-08,8.52896e-07,7.20999e-07
-6.78075e-07,4.22713e-07,1.30437e-06
4.15378e-07,-5.35858e-07,1.7156e-07
-7.47161e-07,8.90542e-07,6.87234e-07
-4.55123e-07,1.39076e-06,5.21866e-08
-5.30694e-07,-3.53022e-07,1.01414e-06
2.31095e-07,6.21404e-07,1.6452e-06
-3.31135e-07,-5.74314e-07,2.75037e-07
6.8352e-08,9.26046e-07,4.33289e-07
1.17295e-06,-1.41692e-07,8.41768e-07
8.9574e-07,2.922e-07,1.4411e-06
-1.05805e-07,-2.88133e-07,9.35885e-07
1.02303e-06,3.84729e-08,4.00151e-08
5.27945e-07,-3.27307e-07,1.08569e-06
7.81048e-07,-6.87784e-07,1.62595e-06
-7.14627e-07,1.64008e-07,1.14313e-06
2.05263e-07,1.06037e-06,7.31731e-07
9.36522e-07,-6.7371e-07,6.94543e-07
8.54927e-07,5.43909e-07,1.51029e-06
3.50843e-07,-2.26966e-07,4.7216e-07
-1.16933e-06,6.68345e-07,7.92162e-07
1.58668e-06,8.42463e-07,2.30435e-07
-8.35079e-07,2.46116e-07,8.42287e-07
3.31302e-07,-1.09191e-06,1.60029e-06
-2.61698e-07,-8.83617e-08,1.69019e-07
1.42992e-07,-5.7598e-07,1.02223e-06
1.09331e-06,8.49968e-08,4.42621e-07
9.94519e-07,1.25029e-06,4.15181e-08
-8.90026e-07,2.98548e-07,4.1083e-07
-3.88549e-07,1.61736e-07,9.72057e-07
1.28558e-06,8.09342e-07,3.41274e-07
1.19177e-07,1.1425e-07,1.07558e-06
6.03686e-08,-8.57914e-08,1.27904e-06
5.57541e-07,-1.13611e-06,3.71307e-07
6.20987e-08,-3.14742e-07,1.6442e-06
1.07103e-06,-9.22804e-08,1.29581e-06
-1.17155e-06,-1.4353e-06,2.17032e-07
-7.58835e-07,-1.73569e-06,5.35019e-07
1.15437e-06,1.57102e-06,4.09246e-07
1.4715e-06,4.29324e-07,3.91003e-07
-1.18562e-06,1.15313e-06,6.80522e-07
-6.46872e-07,-6.55328e-07,1.65469e-06
3.34054e-07,-1.25533e-06,1.41534e-06
-7.10819e-07,8.40062e-07,7.77702e-07
-1.63297e-06,7.74226e-07,2.33658e-07
-9.14923e-07,4.47898e-07,6.55211e-07
-4.09795e-07,-7.90927e-07,6.89237e-07
-5.30447e-07,6.27439e-09,1.87715e-06
1.7317e-07,6.11333e-07,5.66836e-07
-9.88936e-07,1.42348e-07,4.01997e-07
-6.22793e-07,-5.63435e-07,1.21779e-06
7.95588e-07,7.63117e-07,4.26973e-07
9.00918e-07,9.47982e-07,9.90367e-07
-1.40903e-06,4.40797e-07,8.29538e-07
-6.28146e-07,-5.31894e-07,-6.16482e-08
1.74341e-06,2.72871e-07,1.33148e-07
1.2972e-06,-1.26382e-06,8.02524e-07
2.90575e-07,-1.12248e-06,5.11783e-07
4.16879e-07,4.19231e-07,1.71849e-06
-1.07075e-06,-1.43543e-07,-3.10574e-08
4.22176e-07,-1.22811e-06,8.2087e-07
-2.29339e-07,1.32328e-06,7.50605e-07
-3.03892e-07,1.3197e-07,1.31553e-06
9.20375e-07,1.12672e-06,6.41788e-07
1.23433e-06,7.03129e-08,9.42179e-07
-1.39029e-06,-9.04568e-07,5.38032e-07
6.75255e-07,-4.05679e-07,-4.74449e-08
-6.17876e-07,-1.17694e-07,1.27977e-06
-9.60911e-07,7.10482e-07,3.42723e-07
5.7423e-07,-1.30686e-06,1.04448e-06
2.78361e-07,1.09321e-06,3.75382e-07
8.63922e-08,7.94998e-07,6.70883e-07
-7.5301e-07,-9.11742e-07,3.87695e-07
1.235e-07,4.37574e-07,6.39643e-07
6.17284e-07,-1.52475e-07,7.8112e-07
-5.70242e-07,-4.79567e-07,8.57847e-07
-7.13809e-08,1.1724e-06,5.71852e-07
-4.40052e-07,-4.37257e-07,1.5071e-06
2.26689e-07,5.24805e-07,1.33136e-06
-1.62724e-06,8.21511e-07,2.1733e-07
8.60487e-08,-1.06316e-07,1.40278e-06
-9.34006e-07,8.98353e-07,6.70152e-07
1.0949e-06,2.24786e-07,4.19018e-07
2.4976e-07,4.63241e-07,1.72197e-06
4.66855e-07,9.00067e-07,6.88898e-07
1.00745e-07,-3.11769e-07,3.94762e-07
1.30434e-06,-1.293e-06,5.20332e-07
