t,x,y,z,v
2.88,6.27864e-07,2.49922e-06,-3.81225e-06,9.61375e-07
2.89,5.69773e-07,2.52113e-06,-3.90172e-06,9.68015e-07
2.9,5.16405e-07,2.52482e-06,-3.82381e-06,9.61011e-07
2.91,4.61849e-07,2.51878e-06,-3.76489e-06,9.58332e-07
2.92,5.86743e-07,2.53062e-06,-3.72058e-06,9.5138e-07
2.93,6.96668e-07,2.3949e-06,-3.78708e-06,9.59027e-07
2.94,6.63958e-07,2.4279e-06,-3.60002e-06,9.71182e-07
2.95,6.71783e-07,2.38901e-06,-3.5546e-06,9.71877e-07
2.96,5.4466e-07,2.37323e-06,-3.44221e-06,9.71681e-07
2.97,6.09361e-07,2.38065e-06,-3.56059e-06,9.62681e-07
2.98,6.12129e-07,2.32182e-06,-3.55394e-06,9.65912e-07
2.99,6.65992e-07,2.27358e-06,-3.51123e-06,9.60824e-07
3,6.31673e-07,2.29689e-06,-3.44492e-06,9.75835e-07
3.01,7.01919e-07,2.31774e-06,-3.47075e-06,9.70217e-07
3.02,6.9783e-07,2.31304e-06,-3.50579e-06,9.64874e-07
3.03,6.97712e-07,2.43527e-06,-3.47152e-06,9.72988e-07
3.04,6.97651e-07,2.47136e-06,-3.47928e-06,9.68968e-07
3.05,7.35932e-07,2.58181e-06,-3.64399e-06,9.71873e-07
3.06,7.404e-07,2.59948e-06,-3.66235e-06,9.66594e-07
3.07,6.69016e-07,2.63632e-06,-3.7541e-06,9.65887e-07
3.08,7.10908e-07,2.56577e-06,-3.68785e-06,9.73304e-07
3.09,6.90492e-07,2.62104e-06,-3.77771e-06,9.65808e-07
3.1,6.9115e-07,2.56187e-06,-3.69058e-06,9.68342e-07
3.11,6.5137e-07,2.53628e-06,-3.66864e-06,9.75924e-07
3.12,6.21084e-07,2.48389e-06,-3.67665e-06,9.78069e-07
3.13,6.09159e-07,2.59818e-06,-3.75421e-06,9.64918e-07
3.14,6.15646e-07,2.68918e-06,-3.74388e-06,9.65958e-07
3.15,6.61556e-07,2.77174e-06,-3.84457e-06,9.70134e-07
3.16,5.8994e-07,2.73952e-06,-3.84645e-06,9.83198e-07
3.17,7.34187e-07,2.74811e-06,-3.92737e-06,9.57651e-07
3.18,7.24296e-07,2.78465e-06,-3.97103e-06,9.61249e-07
3.19,7.53907e-07,2.73919e-06,-4.01314e-06,9.64064e-07
3.2,7.20749e-07,2.82571e-06,-3.8817e-06,9.60339e-07
3.21,9.07615e-07,2.87994e-06,-3.81533e-06,9.63205e-07
3.22,8.08704e-07,2.86927e-06,-3.91208e-06,9.53683e-07
3.23,7.66894e-07,3.02374e-06,-3.89873e-06,9.56952e-07
3.24,7.14251e-07,3.07365e-06,-3.93675e-06,9.6545e-07
3.25,8.08579e-07,3.08588e-06,-3.98265e-06,9.63871e-07
3.26,8.65341e-07,2.99873e-06,-4.01895e-06,9.57135e-07
3.27,8.42468e-07,2.9611e-06,-4.04184e-06,9.69025e-07
3.28,9.42851e-07,2.95126e-06,-4.04059e-06,9.59612e-07
3.29,9.9324e-07,2.91335e-06,-3.95044e-06,9.58067e-07
3.3,9.99766e-07,2.93646e-06,-3.88547e-06,9.72707e-07
3.31,9.98659e-07,2.91635e-06,-3.90468e-06,9.74038e-07
3.32,1.02786e-06,2.88551e-06,-4.00436e-06,9.73253e-07
3.33,9.74785e-07,2.86572e-06,-4.04782e-06,9.7221e-07
3.34,7.71121e-07,2.86385e-06,-4.09591e-06,9.72972e-07
3.35,7.11184e-07,2.87715e-06,-4.16251e-06,9.53111e-07
3.36,7.37562e-07,2.8541e-06,-4.12575e-06,9.66752e-07
3.37,9.35917e-07,2.83427e-06,-4.07107e-06,9.5862e-07
3.38,8.67239e-07,2.89192e-06,-4.02373e-06,9.631e-07
3.39,9.46322e-07,2.87786e-06,-3.92503e-06,9.45093e-07
3.4,1.06621e-06,2.9098e-06,-3.93056e-06,9.68579e-07
3.41,1.00847e-06,2.83265e-06,-4.04889e-06,9.61797e-07
3.42,9.8295e-07,2.86091e-06,-4.11765e-06,9.76025e-07
3.43,8.96328e-07,2.82843e-06,-4.11537e-06,9.72922e-07
3.44,9.12115e-07,2.89831e-06,-4.10153e-06,9.55893e-07
3.45,8.16913e-07,3.04185e-06,-4.11482e-06,9.6115e-07
3.46,8.43702e-07,2.98049e-06,-4.12259e-06,9.59866e-07
3.47,7.92679e-07,2.95441e-06,-4.1863e-06,9.63948e-07
3.48,8.74093e-07,2.99549e-06,-4.23824e-06,9.63374e-07
3.49,8.54591e-07,2.96535e-06,-4.35117e-06,9.64542e-07
3.5,7.95612e-07,2.96094e-06,-4.33963e-06,9.63055e-07
3.51,7.96599e-07,2.94812e-06,-4.32772e-06,9.61064e-07
3.52,6.99861e-07,2.96075e-06,-4.25804e-06,9.60297e-07
3.53,6.83753e-07,3.00425e-06,-4.15764e-06,9.63681e-07
3.54,6.89265e-07,3.0827e-06,-4.25247e-06,9.70101e-07
3.55,7.18698e-07,3.19286e-06,-4.28415e-06,9.73471e-07
3.56,6.95274e-07,3.25146e-06,-4.38663e-06,9.67089e-07
3.57,6.73873e-07,3.18478e-06,-4.44725e-06,9.69875e-07
3.58,6.31181e-07,3.17604e-06,-4.39857e-06,9.80016e-07
3.59,5.52217e-07,3.19428e-06,-4.44595e-06,9.71025e-07
3.6,5.84172e-07,3.24029e-06,-4.39147e-06,9.55748e-07
3.61,5.79659e-07,3.21919e-06,-4.39958e-06,9.63372e-07
3.62,4.70801e-07,3.10682e-06,-4.20865e-06,9.59682e-07
3.63,5.68336e-07,3.05437e-06,-4.27521e-06,9.56548e-07
3.64,6.44747e-07,3.02017e-06,-4.34427e-06,9.6585e-07
3.65,6.30875e-07,3.03041e-06,-4.3666e-06,9.63193e-07
3.66,6.87562e-07,2.89746e-06,-4.35258e-06,9.61085e-07
3.67,7.33262e-07,2.92211e-06,-4.36171e-06,9.73684e-07
3.68,8.04274e-07,2.88623e-06,-4.25902e-06,9.66739e-07
3.69,7.75913e-07,2.86057e-06,-4.27406e-06,9.54455e-07
3.7,6.91612e-07,2.91506e-06,-4.4153e-06,9.5488e-07
3.71,7.01457e-07,2.97698e-06,-4.41812e-06,9.7468e-07
3.72,6.81329e-07,2.98359e-06,-4.50619e-06,9.64159e-07
3.73,6.43493e-07,2.96867e-06,-4.56415e-06,9.66426e-07
3.74,6.48206e-07,2.8968e-06,-4.64595e-06,9.65614e-07
3.75,7.26324e-07,2.80492e-06,-4.80322e-06,9.71588e-07
