t,x,y,z,v
2.14,-3.65545e-07,-1.14943e-06,-7.54587e-07,4.35351e-07
2.15,-3.44684e-07,-9.49026e-07,-7.96023e-07,4.37653e-07
2.16,-3.67896e-07,-9.76846e-07,-7.94525e-07,4.3553e-07
2.17,-4.28335e-07,-1.00471e-06,-7.34193e-07,4.34456e-07
2.18,-4.38021e-07,-1.06987e-06,-6.5468e-07,4.4338e-07
2.19,-3.53586e-07,-9.87727e-07,-6.61371e-07,4.33819e-07
2.2,-3.22179e-07,-1.07067e-06,-6.92808e-07,4.29871e-07
2.21,-2.87125e-07,-1.09537e-06,-6.31563e-07,4.35694e-07
2.22,-2.34635e-07,-1.19206e-06,-6.00639e-07,4.3861e-07
2.23,-1.92237e-07,-1.15117e-06,-4.98554e-07,4.33731e-07
2.24,-1.82979e-07,-1.13333e-06,-3.71722e-07,4.32287e-07
2.25,-1.31744e-07,-1.20187e-06,-3.30535e-07,4.34094e-07
2.26,-4.93176e-08,-1.11172e-06,-3.76314e-07,4.31194e-07
2.27,-5.90204e-08,-1.08082e-06,-3.0719e-07,4.40412e-07
2.28,-8.78809e-08,-1.11605e-06,-4.34546e-07,4.38838e-07
2.29,9.28177e-08,-1.15469e-06,-5.13712e-07,4.30948e-07
2.3,1.49933e-07,-1.13307e-06,-6.33865e-07,4.35535e-07
2.31,2.12593e-07,-1.06567e-06,-6.39829e-07,4.38458e-07
2.32,2.09672e-07,-1.04487e-06,-4.90584e-07,4.3707e-07
2.33,2.09161e-07,-9.56659e-07,-5.56257e-07,4.41686e-07
2.34,2.89429e-07,-8.65861e-07,-6.06159e-07,4.39224e-07
2.35,2.83889e-07,-8.89245e-07,-5.29814e-07,4.37338e-07
2.36,2.75023e-07,-8.78228e-07,-5.44061e-07,4.42505e-07
2.37,3.72864e-07,-8.62583e-07,-6.98482e-07,4.42742e-07
2.38,2.76595e-07,-7.57054e-07,-7.0198e-07,4.3528e-07
2.39,2.54003e-07,-7.35232e-07,-6.82659e-07,4.34629e-07
2.4,2.84167e-07,-7.2173e-07,-6.24533e-07,4.41378e-07
2.41,1.67668e-07,-8.71498e-07,-6.31967e-07,4.35665e-07
2.42,1.80579e-07,-8.38991e-07,-5.99546e-07,4.25625e-07
2.43,2.04682e-07,-7.59186e-07,-7.03306e-07,4.3459e-07
