x,y,z
-1.17902e-06,-7.35357e-07,6.7016e-07
7.06661e-07,-1.49816e-06,7.75861e-07
1.47788e-08,-4.96201e-07,1.93198e-06
-1.69151e-06,-1.86414e-06,2.77536e-07
-1.01438e-06,1.45634e-07,1.3848e-07
1.50189e-06,6.70582e-07,6.85381e-07
1.93117e-06,-1.86479e-06,4.53006e-07
-1.59844e-06,1.39e-07,5.10448e-07
-6.41688e-07,9.38948e-07,2.15291e-07
-1.39661e-06,-8.21843e-07,1.38474e-07
1.61895e-06,1.53919e-06,4.66999e-07
-5.64578e-07,-7.00073e-07,1.29221e-07
-1.29222e-06,1.24638e-06,9.09363e-07
-1.72261e-06,9.58596e-07,1.57667e-07
8.53842e-07,9.07343e-07,1.13479e-09
1.00544e-06,1.65861e-06,5.74733e-07
-5.72021e-07,-5.71909e-07,1.77006e-06
1.60496e-06,6.93139e-07,9.6521e-07
-1.36596e-06,1.47766e-06,8.01052e-07
-1.22767e-06,-1.34208e-06,7.2357e-07
-4.64083e-08,1.35749e-07,1.4281e-06
-3.12157e-07,-6.69952e-07,1.27508e-06
5.44793e-07,-8.7779e-08,1.51532e-06
-1.27087e-06,-1.37056e-06,1.19939e-06
1.16552e-07,1.16089e-06,1.23456e-07
1.62552e-06,5.27733e-07,4.20483e-07
1.54888e-06,-1.17263e-06,4.1953e-07
1.58194e-06,-8.31246e-07,1.04688e-06
-4.19513e-07,-7.30157e-07,1.26611e-06
-1.11563e-06,1.09896e-06,1.211e-06
1.65992e-06,2.35375e-07,-8.97417e-08
4.16373e-07,-2.13198e-07,1.8029e-06
-1.17485e-06,-1.43592e-06,1.18538e-06
1.17935e-06,-1.15105e-06,1.43741e-06
5.18668e-07,1.4569e-08,5.96912e-07
1.47934e-06,-8.68769e-07,4.41617e-07
-1.2033e-06,1.04199e-06,1.24382e-06
-1.027e-06,1.33038e-06,3.26977e-07
-3.82423e-08,-5.93732e-07,9.37236e-07
3.65872e-07,3.69292e-07,1.60822e-06
-1.578e-06,-1.61119e-06,2.96026e-07
-8.12425e-07,1.09699e-06,1.5576e-06
1.21294e-06,-6.67082e-07,4.43855e-07
-1.42967e-06,1.66194e-06,-9.89973e-08
-3.77513e-07,-2.13742e-07,1.88204e-06
1.44238e-06,-1.09868e-06,4.42993e-07
3.67599e-07,1.24177e-06,8.01135e-07
-1.59926e-06,-1.53299e-06,2.03508e-07
-5.01134e-07,-4.75934e-07,3.20215e-07
1.07612e-06,1.64618e-06,1.99843e-07
-3.29614e-07,3.64666e-07,1.93732e-06
1.40016e-06,1.39381e-06,1.32594e-06
-7.25896e-07,1.09595e-06,8.9764e-07
3.84256e-07,-5.03789e-07,1.80021e-06
1.687e-06,-3.81945e-08,8.50641e-07
-9.16562e-07,-1.30375e-06,1.32688e-06
9.37232e-08,-9.88102e-07,1.32358e-06
-1.14842e-06,-5.78251e-07,3.25947e-07
1.07803e-06,9.53268e-07,2.80755e-07
-2.66409e-07,-8.36245e-07,6.58779e-07
1.28024e-06,-1.40805e-06,8.51949e-07
-1.91107e-06,1.61448e-06,5.41481e-07
2.5961e-07,-7.28427e-07,9.15149e-07
2.55373e-07,-1.0888e-06,1.72704e-07
8.90551e-07,-1.13406e-06,4.15001e-07
-1.12014e-06,-1.46667e-06,1.06948e-06
-1.75819e-06,-5.52119e-07,-9.05316e-08
-8.36539e-07,1.20209e-06,1.23016e-06
-2.6323e-07,1.13762e-06,5.63808e-07
8.40219e-08,3.17372e-08,1.14817e-06
-5.48587e-07,-7.15894e-07,1.29264e-06
-1.67314e-06,-3.72289e-08,2.58866e-07
1.40803e-06,-1.471e-06,5.20206e-07
6.91303e-07,9.83555e-07,1.32603e-06
3.62948e-07,-5.71443e-07,1.72358e-06
3.53861e-07,5.7542e-07,1.56986e-06
-1.50924e-06,-1.18064e-06,5.39014e-07
1.63415e-06,-1.97881e-07,1.03951e-06
-1.09241e-06,1.65293e-06,9.60602e-08
1.81673e-06,1.46868e-06,3.5221e-08
8.21636e-07,-2.92919e-07,1.39012e-06
7.0073e-07,6.52332e-07,6.55308e-07
1.48189e-06,-1.50008e-06,1.15122e-06
1.08853e-06,-4.25868e-07,1.55718e-06
1.27688e-06,1.01757e-06,9.33641e-07
-1.23745e-06,1.09969e-06,8.12643e-07
-1.12898e-06,-1.37741e-06,2.84383e-07
2.16767e-07,1.04828e-06,1.35149e-06
-3.69818e-07,8.58945e-07,1.35498e-06
-8.87615e-07,1.06833e-06,1.52388e-06
-1.36268e-06,-3.53712e-07,8.22288e-07
6.33299e-07,-1.10219e-06,-1.42909e-07
-2.35037e-07,-2.07891e-07,1.91691e-06
-4.82339e-07,-3.57796e-07,6.54436e-07
1.30792e-06,1.32955e-06,1.17158e-06
1.00833e-06,1.4652e-06,4.51494e-07
3.30442e-07,1.53817e-06,8.36281e-07
4.88449e-07,-8.58288e-07,3.48223e-07
-1.89126e-07,-1.12105e-07,1.62925e-06
-1.07662e-06,-1.14729e-06,1.09533e-06
-1.23323e-06,1.06192e-06,9.87713e-07
-1.00163e-06,-2.83613e-07,1.18118e-06
1.13225e-06,-1.19737e-06,1.32828e-06
-1.52901e-06,1.63952e-06,9.37748e-07
-1.15196e-07,-2.17705e-07,1.67906e-06
-1.58417e-06,1.2532e-06,4.38225e-07
-1.06184e-06,9.33853e-07,7.02459e-07
-1.3253e-06,1.74756e-06,4.56872e-07
-1.35846e-06,1.56566e-06,2.97815e-07
7.43812e-08,-2.26204e-07,1.8073e-06
3.60714e-07,1.60448e-06,2.93987e-07
1.03833e-06,-6.71136e-07,1.44184e-06
-1.27238e-06,1.27141e-06,1.19732e-06
-9.31753e-07,1.45003e-06,7.76734e-07
1.34672e-06,-5.33206e-07,4.93399e-07
-6.79601e-08,1.60669e-06,4.61351e-07
1.146e-06,1.6823e-06,9.73379e-08
-1.32272e-07,4.02773e-07,1.7344e-06
-1.08191e-06,1.08966e-06,1.60939e-06
1.52679e-07,3.88027e-07,1.55863e-06
1.54689e-06,5.71588e-07,1.00064e-06
8.88857e-07,9.54308e-07,7.81157e-07
1.81805e-06,-2.82923e-07,-8.48808e-08
-1.44245e-06,2.84383e-07,6.42662e-07
-8.06609e-07,-4.32085e-07,1.42499e-06
1.75288e-06,5.96357e-07,-4.01369e-08
-1.65419e-06,2.77129e-07,8.9887e-07
6.78871e-07,5.15414e-07,1.57655e-06
9.15028e-07,1.33466e-06,8.33534e-07
8.86393e-07,-8.75066e-07,2.40071e-07
7.87131e-07,-1.72471e-06,8.68144e-07
9.12006e-07,1.90453e-06,-1.63729e-07
-1.12518e-06,-9.62759e-07,1.104e-06
-1.47823e-07,1.04258e-06,1.56278e-06
-7.68655e-07,5.47044e-07,1.60023e-06
3.02197e-07,1.01192e-06,1.14911e-06
-1.61874e-06,1.2316e-06,1.06042e-06
1.4039e-06,5.96895e-07,7.67433e-07
1.71288e-06,-2.60628e-07,1.21295e-07
-7.73741e-07,-1.76388e-06,-1.22279e-07
-9.82017e-07,1.43351e-06,1.27456e-06
-9.61963e-07,3.93663e-07,-7.84415e-08
-1.02089e-06,-1.00353e-06,9.73823e-07
-2.69158e-07,-2.26891e-09,1.65081e-06
-7.11549e-07,-5.64497e-07,8.10913e-07
1.33497e-06,-6.21693e-07,9.79152e-07
9.30655e-07,6.91858e-07,8.01091e-07
1.30511e-06,5.75853e-08,1.04354e-06
-1.5578e-06,-1.87587e-07,3.82191e-07
-8.12789e-07,-1.46706e-06,1.23481e-06
-1.14937e-06,9.84699e-07,1.52138e-06
-1.05798e-06,1.10131e-06,1.15467e-06
-7.68222e-07,7.85743e-07,1.5787e-06
1.09412e-06,-2.89835e-07,1.04396e-06
-8.54284e-07,8.65165e-07,1.7541e-06
1.22478e-06,-6.2684e-07,9.85774e-07
-1.12411e-06,1.19934e-06,3.43814e-07
6.82732e-07,-8.9712e-07,1.18464e-06
7.47052e-08,1.60627e-06,-7.216e-08
6.10693e-08,4.66577e-07,1.7852e-06
-9.83183e-07,-1.11147e-06,8.7327e-07
7.259e-07,-1.38832e-06,3.241e-07
1.65295e-07,-4.50646e-08,1.80591e-06
3.57738e-07,3.51488e-07,1.67701e-06
1.126e-06,1.07735e-06,7.16303e-07
-6.91039e-08,1.48617e-07,1.69513e-06
-1.63347e-06,2.98587e-07,1.01395e-07
1.25008e-06,4.18086e-07,2.01189e-07
1.44406e-07,-4.92483e-07,1.82589e-06
-7.50426e-07,-5.89794e-07,1.69007e-06
1.71968e-06,-1.82845e-06,7.31706e-08
1.71801e-06,1.32102e-06,5.70862e-07
-1.36241e-06,1.5674e-06,4.733e-07
-1.48167e-06,1.45047e-06,4.34905e-07
-5.75844e-07,9.05915e-07,1.72523e-06
1.27372e-06,-4.64974e-07,7.35693e-07
-1.25771e-06,-3.13131e-07,1.06114e-06
-3.26468e-07,5.55056e-07,1.35002e-06
-1.84885e-07,-2.79797e-07,1.30809e-06
1.41804e-06,1.40946e-06,4.87005e-07
-1.21203e-06,-5.66701e-07,-8.18398e-08
8.42006e-08,-2.13772e-07,1.69286e-06
1.03577e-06,1.55353e-06,8.65488e-07
-4.40683e-07,-1.1305e-06,1.23209e-06
-1.20712e-06,-2.69823e-07,-3.90974e-08
4.36374e-08,1.23362e-06,1.34675e-06
-7.64568e-07,-8.61254e-07,1.75448e-06
1.1379e-06,1.66427e-06,5.37981e-07
-7.69542e-07,7.68913e-07,1.41218e-06
-4.02815e-07,-6.09179e-07,1.63692e-06
1.62655e-06,1.00554e-06,3.84495e-07
1.10839e-08,-1.31898e-06,2.40642e-07
-4.72997e-07,-2.56319e-07,1.6528e-06
-9.70489e-07,5.42401e-07,1.364e-06
9.95117e-07,-1.44258e-06,1.06496e-08
-1.62359e-06,5.27874e-07,-1.3727e-07
-1.13916e-06,-1.46782e-06,-1.04845e-07
-8.64337e-09,8.77287e-07,-1.53351e-07
-1.58732e-09,1.37232e-06,3.17372e-07
-1.1945e-06,1.18231e-06,1.23626e-06
-3.28262e-07,-4.57222e-07,2.89836e-07
4.12354e-08,7.82977e-07,1.40591e-06
1.64758e-06,1.783e-06,-1.4708e-07
1.7082e-06,1.67498e-06,7.69461e-07
-2.97303e-07,1.81576e-06,5.6405e-08
7.90443e-07,1.62944e-08,1.10458e-06
9.0518e-07,-1.14925e-06,1.38418e-06
1.63232e-06,-7.38984e-07,7.88336e-07
-4.97817e-07,9.50405e-09,1.54638e-06
-7.44656e-07,2.81616e-07,1.27712e-06
1.57333e-06,1.27526e-06,-1.22767e-07
-1.7959e-06,1.65823e-06,8.04482e-07
1.42032e-06,-1.43282e-06,1.98294e-07
8.60498e-08,-3.18993e-07,1.28022e-06
-1.57099e-06,3.27964e-07,9.1175e-07
-2.3256e-07,7.90032e-08,1.44447e-06
1.56184e-07,-4.52338e-07,1.57622e-06
1.04956e-06,-7.65106e-07,1.08444e-06
2.31879e-07,-6.70235e-07,1.70039e-06
-1.39772e-06,-1.77577e-06,-1.24583e-07
1.07628e-06,-1.03724e-06,1.41873e-06
-2.99779e-07,-1.66031e-06,2.42429e-07
1.38085e-06,5.87065e-07,5.87616e-07
-1.45013e-06,6.67694e-07,6.37956e-07
1.00952e-06,-1.0804e-06,1.30004e-06
6.87486e-07,-1.06429e-06,1.18634e-06
-8.91095e-07,-8.44839e-07,1.36173e-06
6.68822e-07,-1.54349e-07,1.62251e-06
-7.04999e-07,6.58732e-07,8.0025e-07
-1.08046e-06,6.01039e-07,1.23193e-06
8.72889e-08,-1.6297e-06,9.23614e-07
-3.37955e-07,5.8065e-07,1.61808e-06
-2.70697e-07,-2.53546e-07,-3.88898e-08
-6.22107e-07,-6.98521e-08,1.82189e-06
-1.59842e-06,-1.69334e-06,4.81091e-07
-9.93559e-07,-5.30217e-07,1.52984e-06
1.6786e-06,2.07958e-07,5.9746e-07
-3.29664e-07,4.72422e-07,1.49552e-06
-4.33981e-07,-9.69713e-07,1.28393e-06
1.06962e-06,9.84218e-07,8.40805e-07
1.55514e-06,-1.47399e-06,3.86107e-07
-5.08555e-08,-1.42853e-06,5.62884e-07
6.59639e-07,-6.65001e-07,1.52816e-06
7.96529e-07,2.18035e-07,1.55199e-06
-1.69575e-06,1.56733e-06,5.06232e-07
-1.26918e-06,1.42721e-06,1.2766e-07
-2.52815e-07,1.25514e-06,1.28275e-06
1.75796e-06,-1.69306e-06,2.60573e-07
1.09571e-06,8.36514e-08,1.52393e-06
2.09538e-07,3.98837e-07,2.27952e-07
-1.04269e-08,2.28834e-07,1.86495e-06
-1.23893e-06,-2.25394e-09,1.08346e-06
4.9462e-07,1.09674e-06,9.88489e-07
5.09617e-07,5.36968e-08,1.40362e-06
-1.61115e-06,1.55918e-06,3.6364e-07
9.76349e-08,-4.28089e-07,1.78363e-06
