t,x,y,z,v
1.57,-6.78549e-07,-5.4483e-07,-4.06126e-07,4.60392e-07
1.58,-6.46477e-07,-6.49167e-07,-4.23027e-07,4.64786e-07
1.59,-6.9766e-07,-6.43935e-07,-3.39969e-07,4.65553e-07
1.6,-6.57723e-07,-6.84113e-07,-3.04871e-07,4.63458e-07
1.61,-6.71229e-07,-6.59916e-07,-2.74056e-07,4.6207e-07
1.62,-6.55435e-07,-5.73446e-07,-2.463e-07,4.62947e-07
1.63,-6.43136e-07,-6.00816e-07,-3.85714e-07,4.64582e-07
1.64,-5.94447e-07,-5.43644e-07,-4.11802e-07,4.61251e-07
1.65,-6.64188e-07,-6.24775e-07,-3.80289e-07,4.60679e-07
1.66,-5.90208e-07,-5.86862e-07,-4.52157e-07,4.6192e-07
1.67,-5.88143e-07,-6.18923e-07,-3.52236e-07,4.58545e-07
1.68,-5.93793e-07,-6.38911e-07,-3.14258e-07,4.59896e-07
1.69,-6.08719e-07,-6.09788e-07,-2.90949e-07,4.58441e-07
1.7,-5.91842e-07,-5.27116e-07,-3.32434e-07,4.5794e-07
1.71,-6.16234e-07,-5.51782e-07,-3.18236e-07,4.62e-07
1.72,-6.48841e-07,-5.4247e-07,-3.16721e-07,4.59502e-07
1.73,-7.6309e-07,-5.46335e-07,-2.57031e-07,4.62492e-07
1.74,-7.80927e-07,-5.44153e-07,-2.30089e-07,4.57292e-07
1.75,-7.43505e-07,-5.48053e-07,-2.74094e-07,4.57176e-07
1.76,-7.78072e-07,-4.65951e-07,-2.84562e-07,4.59903e-07
1.77,-7.98333e-07,-3.38066e-07,-2.14966e-07,4.55735e-07
1.78,-7.53653e-07,-2.75968e-07,-9.68313e-08,4.58308e-07
1.79,-7.00606e-07,-2.17487e-07,-1.15298e-07,4.61163e-07
1.8,-7.03975e-07,-3.24711e-07,-1.07407e-07,4.62346e-07
1.81,-7.30908e-07,-3.74192e-07,-2.95569e-09,4.5851e-07
1.82,-6.81491e-07,-3.05181e-07,-2.03367e-08,4.63904e-07
1.83,-7.22609e-07,-2.47884e-07,-7.48438e-08,4.61684e-07
1.84,-7.34501e-07,-3.86299e-07,-1.20499e-07,4.59544e-07
1.85,-6.90924e-07,-4.11736e-07,-2.06425e-07,4.57947e-07
1.86,-7.32148e-07,-3.23447e-07,-2.18052e-07,4.67705e-07
1.87,-7.45959e-07,-3.91822e-07,-2.15797e-07,4.64533e-07
1.88,-7.69871e-07,-3.98693e-07,-2.17314e-07,4.60506e-07
1.89,-7.37928e-07,-4.75123e-07,-2.57471e-07,4.63551e-07
1.9,-7.09878e-07,-4.39113e-07,-3.9323e-07,4.53251e-07
1.91,-6.38618e-07,-4.9387e-07,-4.29805e-07,4.64932e-07
1.92,-6.00752e-07,-4.48908e-07,-4.62248e-07,4.60785e-07
1.93,-6.88885e-07,-4.21789e-07,-4.77165e-07,4.62863e-07
1.94,-6.78076e-07,-3.55781e-07,-5.378e-07,4.64062e-07
1.95,-6.61914e-07,-3.87576e-07,-4.93548e-07,4.62812e-07
1.96,-6.42083e-07,-4.32189e-07,-3.6442e-07,4.65808e-07
1.97,-7.1006e-07,-4.5205e-07,-2.91469e-07,4.64504e-07
1.98,-7.04807e-07,-4.7012e-07,-3.19878e-07,4.62947e-07
1.99,-6.04415e-07,-4.4436e-07,-3.08041e-07,4.61267e-07
2,-6.27445e-07,-5.18641e-07,-2.86278e-07,4.64482e-07
2.01,-6.0836e-07,-4.01868e-07,-2.91939e-07,4.62137e-07
2.02,-6.80448e-07,-3.92211e-07,-3.28498e-07,4.60834e-07
2.03,-6.96297e-07,-4.00555e-07,-3.51986e-07,4.66419e-07
2.04,-5.91581e-07,-5.55056e-07,-3.60768e-07,4.66655e-07
2.05,-6.12609e-07,-4.34477e-07,-4.00504e-07,4.62022e-07
2.06,-7.59715e-07,-4.62073e-07,-3.84794e-07,4.62624e-07
2.07,-7.40951e-07,-5.48367e-07,-4.54934e-07,4.61083e-07
2.08,-7.02495e-07,-6.39326e-07,-5.20282e-07,4.61301e-07
2.09,-6.75635e-07,-6.31962e-07,-6.01396e-07,4.58627e-07
2.1,-6.98946e-07,-6.47149e-07,-6.04998e-07,4.6394e-07
2.11,-6.44257e-07,-6.14105e-07,-5.77905e-07,4.53182e-07
2.12,-7.82032e-07,-5.5236e-07,-5.86681e-07,4.59568e-07
2.13,-8.07264e-07,-5.28215e-07,-5.71205e-07,4.5753e-07
2.14,-7.1344e-07,-4.54668e-07,-5.06361e-07,4.57987e-07
2.15,-7.3106e-07,-4.47216e-07,-6.0409e-07,4.62784e-07
2.16,-8.60294e-07,-4.92808e-07,-5.69083e-07,4.5444e-07
2.17,-8.22888e-07,-4.95689e-07,-7.01408e-07,4.5881e-07
2.18,-7.6681e-07,-5.69335e-07,-7.55675e-07,4.62159e-07
2.19,-7.19683e-07,-5.26722e-07,-8.04805e-07,4.54885e-07
2.2,-6.91809e-07,-5.79011e-07,-8.70501e-07,4.58558e-07
2.21,-7.55434e-07,-6.12853e-07,-8.03923e-07,4.62959e-07
2.22,-7.61876e-07,-7.11712e-07,-7.9576e-07,4.60879e-07
2.23,-8.99885e-07,-7.98855e-07,-7.45543e-07,4.56476e-07
2.24,-9.77656e-07,-7.86403e-07,-6.37062e-07,4.57854e-07
2.25,-8.89056e-07,-8.32499e-07,-6.03395e-07,4.64735e-07
2.26,-8.9294e-07,-8.76202e-07,-6.35541e-07,4.56463e-07
2.27,-8.92439e-07,-8.52658e-07,-6.06884e-07,4.53959e-07
2.28,-8.75271e-07,-7.60459e-07,-6.09323e-07,4.56919e-07
2.29,-9.75751e-07,-7.53331e-07,-6.13206e-07,4.59969e-07
2.3,-9.7408e-07,-6.12665e-07,-6.67197e-07,4.64053e-07
2.31,-9.22644e-07,-6.25386e-07,-6.69691e-07,4.63033e-07
2.32,-9.52817e-07,-6.95613e-07,-6.30838e-07,4.59406e-07
2.33,-9.18537e-07,-7.26235e-07,-6.97762e-07,4.56386e-07
2.34,-8.48176e-07,-6.79955e-07,-6.77489e-07,4.59526e-07
2.35,-7.82254e-07,-7.22497e-07,-6.79327e-07,4.54401e-07
2.36,-9.64637e-07,-7.51108e-07,-6.68415e-07,4.56867e-07
2.37,-1.02529e-06,-6.29016e-07,-6.35347e-07,4.63166e-07
2.38,-1.00445e-06,-6.08471e-07,-5.37822e-07,4.61466e-07
2.39,-1.04944e-06,-4.99907e-07,-4.86023e-07,4.61962e-07
2.4,-9.84608e-07,-5.40793e-07,-4.91332e-07,4.56764e-07
2.41,-9.86736e-07,-4.70108e-07,-5.06892e-07,4.65311e-07
2.42,-1.0291e-06,-4.28652e-07,-5.28008e-07,4.66665e-07
2.43,-9.79069e-07,-3.88152e-07,-5.55109e-07,4.63366e-07
2.44,-9.67252e-07,-4.4676e-07,-6.03701e-07,4.61832e-07
2.45,-9.03897e-07,-4.97825e-07,-6.08374e-07,4.65082e-07
2.46,-9.12999e-07,-4.61706e-07,-5.47814e-07,4.57036e-07
2.47,-8.8409e-07,-5.40549e-07,-5.41713e-07,4.57776e-07
2.48,-8.04767e-07,-5.81258e-07,-6.60154e-07,4.57444e-07
2.49,-7.72292e-07,-5.39937e-07,-5.43425e-07,4.57232e-07
2.5,-7.51523e-07,-5.33809e-07,-4.86937e-07,4.50522e-07
2.51,-8.06063e-07,-5.12715e-07,-4.25698e-07,4.57957e-07
