t,x,y,z,v
2.05,-6.48302e-07,4.56657e-07,4.51621e-07,5.81516e-07
2.06,-7.06525e-07,4.93468e-07,5.29635e-07,5.91177e-07
2.07,-6.87418e-07,4.89401e-07,5.6415e-07,5.52434e-07
2.08,-8.06951e-07,4.04297e-07,5.2305e-07,5.53024e-07
2.09,-7.18492e-07,4.20971e-07,4.81495e-07,5.47605e-07
2.1,-8.24126e-07,3.45183e-07,5.73404e-07,5.42918e-07
2.11,-7.7566e-07,3.08083e-07,5.60208e-07,5.26857e-07
2.12,-8.98557e-07,2.66688e-07,3.99904e-07,5.24904e-07
2.13,-9.83073e-07,2.65634e-07,4.31354e-07,5.23701e-07
2.14,-9.80356e-07,1.75591e-07,5.58439e-07,5.15797e-07
2.15,-1.00774e-06,1.33109e-07,5.23744e-07,5.05185e-07
2.16,-1.03009e-06,1.04663e-07,4.69124e-07,5.09212e-07
2.17,-1.10169e-06,1.94116e-09,4.32338e-07,5.18635e-07
2.18,-1.05403e-06,-5.65069e-08,3.84219e-07,5.10231e-07
2.19,-1.11327e-06,-4.34218e-08,3.95323e-07,5.21642e-07
2.2,-1.01966e-06,-4.19004e-08,3.42774e-07,5.12161e-07
2.21,-1.02067e-06,-9.31547e-08,3.01372e-07,5.3805e-07
2.22,-9.34592e-07,-9.12919e-08,3.16704e-07,5.38812e-07
2.23,-9.38583e-07,-3.03801e-08,3.33947e-07,5.51176e-07
2.24,-1.00517e-06,6.32161e-08,2.62064e-07,5.41792e-07
2.25,-9.50176e-07,1.33132e-07,3.10871e-07,5.3655e-07
2.26,-9.02794e-07,6.92086e-08,4.55228e-07,5.42851e-07
2.27,-9.14165e-07,1.58896e-08,3.88962e-07,5.4421e-07
2.28,-9.07363e-07,-6.41998e-08,4.19754e-07,5.46444e-07
2.29,-8.07299e-07,-9.15015e-08,4.23228e-07,5.73952e-07
2.3,-8.67168e-07,-4.30539e-08,3.80792e-07,5.57366e-07
