x,y
5.64334e-05,5.06348e-05
4.92332e-05,5.5211e-05
5.06285e-05,5.66438e-05
5.64546e-05,5.06213e-05
4.92125e-05,5.52311e-05
5.06079e-05,5.66639e-05
5.64757e-05,5.06079e-05
4.91918e-05,5.52512e-05
5.05872e-05,5.6684e-05
5.64968e-05,5.05944e-05
4.91711e-05,5.52714e-05
5.05665e-05,5.67042e-05
5.6518e-05,5.0581e-05
4.91505e-05,5.52915e-05
5.05458e-05,5.67243e-05
5.65391e-05,5.05675e-05
4.91298e-05,5.53117e-05
5.05251e-05,5.67445e-05
5.65602e-05,5.05541e-05
4.91091e-05,5.53318e-05
5.05045e-05,5.67646e-05
5.65814e-05,5.05407e-05
4.90884e-05,5.53519e-05
5.04838e-05,5.67847e-05
5.66025e-05,5.05272e-05
4.90677e-05,5.53721e-05
5.04631e-05,5.68049e-05
5.66236e-05,5.05138e-05
4.90471e-05,5.53922e-05
5.04424e-05,5.6825e-05
5.66448e-05,5.05003e-05
4.90264e-05,5.54124e-05
5.04217e-05,5.68452e-05
5.66659e-05,5.04869e-05
4.90057e-05,5.54325e-05
5.04011e-05,5.68653e-05
5.6687e-05,5.04734e-05
4.8985e-05,5.54526e-05
5.03804e-05,5.68854e-05
5.67082e-05,5.046e-05
4.89643e-05,5.54728e-05
5.03597e-05,5.69056e-05
5.67293e-05,5.04466e-05
4.89436e-05,5.54929e-05
5.0339e-05,5.69257e-05
5.67505e-05,5.04331e-05
4.8923e-05,5.55131e-05
5.03183e-05,5.69459e-05
5.67716e-05,5.04197e-05
4.89023e-05,5.55332e-05
5.02977e-05,5.6966e-05
5.67927e-05,5.04062e-05
4.88816e-05,5.55533e-05
5.0277e-05,5.69861e-05
5.68139e-05,5.03928e-05
4.88609e-05,5.55735e-05
5.02563e-05,5.70063e-05
5.6835e-05,5.03793e-05
4.88402e-05,5.55936e-05
5.02356e-05,5.70264e-05
5.68561e-05,5.03659e-05
4.88196e-05,5.56138e-05
5.02149e-05,5.70466e-05
5.68773e-05,5.03525e-05
4.87989e-05,5.56339e-05
5.01943e-05,5.70667e-05
5.68984e-05,5.0339e-05
4.87782e-05,5.5654e-05
5.01736e-05,5.70869e-05
5.69195e-05,5.03256e-05
4.87575e-05,5.56742e-05
5.01529e-05,5.7107e-05
5.69407e-05,5.03121e-05
4.87368e-05,5.56943e-05
5.01322e-05,5.71271e-05
5.69618e-05,5.02987e-05
4.87162e-05,5.57145e-05
5.01115e-05,5.71473e-05
5.69829e-05,5.02852e-05
4.86955e-05,5.57346e-05
5.00908e-05,5.71674e-05
